SITE_ID,EST_ID,ENTA_EST_ID,ENTA_SYNDROME,ENTA_AGE_GROUP,ENTA_AGE_LB_MON,ENTA_AGE_UB_MON,ENTA_AGE_LB_YR,ENTA_AGE_UB_YR,ENTA_SEX,ENTA_DX,ENTA_STRAIN,ENTA_SUBJECTS,ENTA_SAMPLES,ENTA_CASES,ENTA_PREV,ENTA_SE,ENTA_NOTES
GREY00000001-01,GREY00000001-01-01,GREY00000001-01-ENTA-01,Medically attended diarrhea - inpatient,Pre-school age children,1,11,0,1,Both,Molecular,,64,59,0,0.0,0.0,
GREY00000001-01,GREY00000001-01-02,GREY00000001-01-ENTA-02,Medically attended diarrhea - inpatient,Pre-school age children,12,23,1,2,Both,Molecular,,59,54,0,0.0,0.0,
GREY00000001-01,GREY00000001-01-03,GREY00000001-01-ENTA-03,Medically attended diarrhea - inpatient,Pre-school age children,24,58,2,5,Both,Molecular,,67,54,0,0.0,0.0,
PMID27080387-01,PMID27080387-01-01,PMID27080387-01-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,56,56,0,0.0,0.0,
PMID27080387-01,PMID27080387-01-02,PMID27080387-01-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,0,11,0,0,Both,Molecular,,136,136,0,0.0,0.0,
PMID27080387-01,PMID27080387-01-03,PMID27080387-01-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,83,83,0,0.0,0.0,
PMID27080387-01,PMID27080387-01-04,PMID27080387-01-ENTA-04,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,1,Both,Molecular,,151,151,1,0.0066225165501236916,0.0066005513072013855,
PMID27080387-01,PMID27080387-01-05,PMID27080387-01-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,85,85,1,0.0117647061124444,0.011695297434926033,
PMID27080387-01,PMID27080387-01-06,PMID27080387-01-ENTA-06,Medically attended diarrhea - outpatient,Pre-school age children,24,59,2,4,Both,Molecular,,141,141,0,0.0,0.0,
PMID27080387-01,PMID27080387-01-07,PMID27080387-01-ENTA-07,Asymptomatic,School age children,60,119,5,5,Both,Molecular,,15,15,1,0.06666667014360428,0.06440611928701401,
PMID27080387-01,PMID27080387-01-08,PMID27080387-01-ENTA-08,Medically attended diarrhea - outpatient,School age children,60,119,5,5,Both,Molecular,,15,15,0,0.0,0.0,
PMID27673470-01,PMID27673470-01-01,PMID27673470-01-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,878,298,0,0.0,0.0,
PMID27673470-01,PMID27673470-01-02,PMID27673470-01-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,0,11,0,0,Both,Molecular,,550,300,0,0.0,0.0,
PMID27673470-01,PMID27673470-01-03,PMID27673470-01-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,761,299,0,0.0,0.0,
PMID27673470-01,PMID27673470-01-04,PMID27673470-01-ENTA-04,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,1,Both,Molecular,,476,299,0,0.0,0.0,
PMID27673470-01,PMID27673470-01-05,PMID27673470-01-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,826,300,0,0.0,0.0,
PMID27673470-01,PMID27673470-01-06,PMID27673470-01-ENTA-06,Medically attended diarrhea - outpatient,Pre-school age children,24,59,2,4,Both,Molecular,,368,298,0,0.0,0.0,
PMID27673470-02,PMID27673470-02-01,PMID27673470-02-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,685,288,0,0.0,0.0,
PMID27673470-02,PMID27673470-02-02,PMID27673470-02-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,0,11,0,0,Both,Molecular,,672,288,0,0.0,0.0,
PMID27673470-02,PMID27673470-02-03,PMID27673470-02-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,598,298,0,0.0,0.0,
PMID27673470-02,PMID27673470-02-04,PMID27673470-02-ENTA-04,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,1,Both,Molecular,,588,299,2,0.006688963156193495,0.00471396604552865,
PMID27673470-02,PMID27673470-02-05,PMID27673470-02-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,731,297,1,0.003367003286257386,0.003361330134794116,
PMID27673470-02,PMID27673470-02-06,PMID27673470-02-ENTA-06,Medically attended diarrhea - outpatient,Pre-school age children,24,59,2,4,Both,Molecular,,308,298,7,0.02348993346095085,0.00877346470952034,
PMID27673470-03,PMID27673470-03-01,PMID27673470-03-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,673,302,0,0.0,0.0,
PMID27673470-03,PMID27673470-03-02,PMID27673470-03-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,0,11,0,0,Both,Molecular,,673,308,0,0.0,0.0,
PMID27673470-03,PMID27673470-03-03,PMID27673470-03-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,621,299,0,0.0,0.0,
PMID27673470-03,PMID27673470-03-04,PMID27673470-03-ENTA-04,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,1,Both,Molecular,,410,302,0,0.0,0.0,
PMID27673470-03,PMID27673470-03-05,PMID27673470-03-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,589,301,0,0.0,0.0,
PMID27673470-03,PMID27673470-03-06,PMID27673470-03-ENTA-06,Medically attended diarrhea - outpatient,Pre-school age children,24,59,2,4,Both,Molecular,,393,303,1,0.0033003301359713078,0.0032948795706033707,
PMID27673470-04,PMID27673470-04-01,PMID27673470-04-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,727,298,0,0.0,0.0,
PMID27673470-04,PMID27673470-04-02,PMID27673470-04-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,0,11,0,0,Both,Molecular,,727,304,1,0.003289473708719015,0.0032840589992702007,
PMID27673470-04,PMID27673470-04-03,PMID27673470-04-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,695,299,0,0.0,0.0,
PMID27673470-04,PMID27673470-04-04,PMID27673470-04-ENTA-04,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,1,Both,Molecular,,682,303,1,0.0033003301359713078,0.0032948795706033707,
PMID27673470-04,PMID27673470-04-05,PMID27673470-04-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,642,283,3,0.010600706562399864,0.006087794434279203,
PMID27673470-04,PMID27673470-04-06,PMID27673470-04-ENTA-06,Medically attended diarrhea - outpatient,Pre-school age children,24,59,2,4,Both,Molecular,,624,282,11,0.039007093757390976,0.011529416777193546,
PMID27673470-05,PMID27673470-05-01,PMID27673470-05-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,696,265,0,0.0,0.0,
PMID27673470-05,PMID27673470-05-02,PMID27673470-05-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,0,11,0,0,Both,Molecular,,374,265,0,0.0,0.0,
PMID27673470-05,PMID27673470-05-03,PMID27673470-05-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,391,159,0,0.0,0.0,
PMID27673470-05,PMID27673470-05-04,PMID27673470-05-ENTA-04,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,1,Both,Molecular,,195,159,0,0.0,0.0,
PMID27673470-05,PMID27673470-05-05,PMID27673470-05-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,208,95,0,0.0,0.0,
PMID27673470-05,PMID27673470-05-06,PMID27673470-05-ENTA-06,Medically attended diarrhea - outpatient,Pre-school age children,24,59,2,4,Both,Molecular,,112,95,0,0.0,0.0,
PMID27673470-06,PMID27673470-06-01,PMID27673470-06-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,633,296,0,0.0,0.0,
PMID27673470-06,PMID27673470-06-02,PMID27673470-06-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,0,11,0,0,Both,Molecular,,633,301,0,0.0,0.0,
PMID27673470-06,PMID27673470-06-03,PMID27673470-06-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,676,300,2,0.006666666828095913,0.004698305390775204,
PMID27673470-06,PMID27673470-06-04,PMID27673470-06-ENTA-04,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,1,Both,Molecular,,399,299,2,0.006688963156193495,0.00471396604552865,
PMID27673470-06,PMID27673470-06-05,PMID27673470-06-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,529,219,3,0.013698630034923553,0.007854550145566463,
PMID27673470-06,PMID27673470-06-06,PMID27673470-06-ENTA-06,Medically attended diarrhea - outpatient,Pre-school age children,24,59,2,4,Both,Molecular,,226,219,12,0.054794520139694214,0.015378345735371113,
PMID27673470-07,PMID27673470-07-01,PMID27673470-07-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,585,273,0,0.0,0.0,
PMID27673470-07,PMID27673470-07-02,PMID27673470-07-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,0,11,0,0,Both,Molecular,,400,276,0,0.0,0.0,
