EST_ID,Pathogen,Age_group,Syndrome,Design,Site_Location,Prevalence,Age_range,Study,Duration,Source,Hyperlink,CASES,SAMPLES,PREV,SE,SITE_LAT,SITE_LONG
GREY00000001-01-ADEN-01,Adenovirus 40/41,0-11 months,Medically attended diarrhea - inpatient,Surveillance,"Zambia, Lusaka, Lusaka","42.7 (37.8, 47.6)",0 - 11 months,Programme for Awareness and Elimination of Diarrhoea (PAED),"Jul, 2012 - Oct, 2013","Chisenga et al., 2018, Pediatr Infect Dis Open Access",http://dx.doi.org/10.21767/2573-0282.100064,167,391,.4271099865436554,.0250159557908773,-14.97951698303223,28.39406394958496
GREY00000001-01-ADEN-02,Adenovirus 40/41,12-23 months,Medically attended diarrhea - inpatient,Surveillance,"Zambia, Lusaka, Lusaka","43.2 (37.9, 48.5)",12 - 23 months,Programme for Awareness and Elimination of Diarrhoea (PAED),"Jul, 2012 - Oct, 2013","Chisenga et al., 2018, Pediatr Infect Dis Open Access",http://dx.doi.org/10.21767/2573-0282.100064,145,336,.431547611951828,.027020400390029,-14.97951698303223,28.39406394958496
GREY00000001-01-ADEN-03,Adenovirus 40/41,24-59 months,Medically attended diarrhea - inpatient,Surveillance,"Zambia, Lusaka, Lusaka","40.1 (32.7, 47.6)",24 - 58 months,Programme for Awareness and Elimination of Diarrhoea (PAED),"Jul, 2012 - Oct, 2013","Chisenga et al., 2018, Pediatr Infect Dis Open Access",http://dx.doi.org/10.21767/2573-0282.100064,67,167,.401197612285614,.0379282422363758,-14.97951698303223,28.39406394958496
GREY00000001-01-CAMP-01,Campylobacter spp.,0-11 months,Medically attended diarrhea - inpatient,Surveillance,"Zambia, Lusaka, Lusaka","35.5 (30.8, 40.3)",0 - 11 months,Programme for Awareness and Elimination of Diarrhoea (PAED),"Jul, 2012 - Oct, 2013","Chisenga et al., 2018, Pediatr Infect Dis Open Access",http://dx.doi.org/10.21767/2573-0282.100064,139,391,.355498731136322,.0242070872336626,-14.97951698303223,28.39406394958496
GREY00000001-01-CAMP-02,Campylobacter spp.,12-23 months,Medically attended diarrhea - inpatient,Surveillance,"Zambia, Lusaka, Lusaka","30.1 (25.2, 35.0)",12 - 23 months,Programme for Awareness and Elimination of Diarrhoea (PAED),"Jul, 2012 - Oct, 2013","Chisenga et al., 2018, Pediatr Infect Dis Open Access",http://dx.doi.org/10.21767/2573-0282.100064,101,336,.300595223903656,.0250141471624374,-14.97951698303223,28.39406394958496
GREY00000001-01-CAMP-03,Campylobacter spp.,24-59 months,Medically attended diarrhea - inpatient,Surveillance,"Zambia, Lusaka, Lusaka","22.2 (15.9, 28.5)",24 - 58 months,Programme for Awareness and Elimination of Diarrhoea (PAED),"Jul, 2012 - Oct, 2013","Chisenga et al., 2018, Pediatr Infect Dis Open Access",http://dx.doi.org/10.21767/2573-0282.100064,37,167,.2215568870306015,.0321364440023899,-14.97951698303223,28.39406394958496
GREY00000001-01-CRYP-01,Cryptosporidium spp.,0-11 months,Medically attended diarrhea - inpatient,Surveillance,"Zambia, Lusaka, Lusaka","13.3 (9.9, 16.7)",0 - 11 months,Programme for Awareness and Elimination of Diarrhoea (PAED),"Jul, 2012 - Oct, 2013","Chisenga et al., 2018, Pediatr Infect Dis Open Access",http://dx.doi.org/10.21767/2573-0282.100064,52,391,.1329923272132874,.0171726122498512,-14.97951698303223,28.39406394958496
GREY00000001-01-CRYP-02,Cryptosporidium spp.,12-23 months,Medically attended diarrhea - inpatient,Surveillance,"Zambia, Lusaka, Lusaka","14.6 (10.8, 18.4)",12 - 23 months,Programme for Awareness and Elimination of Diarrhoea (PAED),"Jul, 2012 - Oct, 2013","Chisenga et al., 2018, Pediatr Infect Dis Open Access",http://dx.doi.org/10.21767/2573-0282.100064,49,336,.1458333283662796,.0192544031888247,-14.97951698303223,28.39406394958496
GREY00000001-01-CRYP-03,Cryptosporidium spp.,24-59 months,Medically attended diarrhea - inpatient,Surveillance,"Zambia, Lusaka, Lusaka","9.0 (4.6, 13.3)",24 - 58 months,Programme for Awareness and Elimination of Diarrhoea (PAED),"Jul, 2012 - Oct, 2013","Chisenga et al., 2018, Pediatr Infect Dis Open Access",http://dx.doi.org/10.21767/2573-0282.100064,15,167,.0898203626275063,.022125480696559,-14.97951698303223,28.39406394958496
GREY00000001-01-ENTA-01,Entamoeba histolytica,0-11 months,Medically attended diarrhea - inpatient,Surveillance,"Zambia, Lusaka, Lusaka","0.8 (0.0, 1.6)",0 - 11 months,Programme for Awareness and Elimination of Diarrhoea (PAED),"Jul, 2012 - Oct, 2013","Chisenga et al., 2018, Pediatr Infect Dis Open Access",http://dx.doi.org/10.21767/2573-0282.100064,3,391,.0076726344414055,.0044127707369626,-14.97951698303223,28.39406394958496
